crime_type,crime_count
AGGRAVATED ASSAULT,511
ALL OTHER,2003
ALL OTHER - ABANDONED VEHICLE,2
ALL OTHER - ALL TRAFFIC EXCEPT DWI (NON-UCR),1650
ALL OTHER - ASSIST OTHER AGENCY,3
ALL OTHER - BLACKMAIL/ EXTORTION,21
ALL OTHER - BRIBERY,2
"ALL OTHER - COMMUNICATE THREATS, INTIMIDATION",48
"ALL OTHER - CONTEMPT OF COURT, PURJURY, COURT VIOLATIONS",934
ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST,441
ALL OTHER - FAIL TO APPEAR,1
ALL OTHER - FALSE POLICE REPORT,25
ALL OTHER - FALSE REPORT,2
ALL OTHER - FOUND/LOST PROPERTY,13
ALL OTHER - HARASSING PHONE CALLS-NO THREATS,35
ALL OTHER - HOLDING UNTIL SOBER,9
ALL OTHER - KIDNAPPING,52
ALL OTHER - MISSING PERSON,369
ALL OTHER - NON-NEGLIGENT TRAFFIC DEATH,1
ALL OTHER - OBSCENE PHONE CALLS,50
ALL OTHER - PAROLE OR PROBATION VIOLATION,4
ALL OTHER - POLICE PURSUIT,17
ALL OTHER - PROBATION/PAROLE VIOLATION,32
ALL OTHER - PUBLIC ACCIDENT,141
ALL OTHER - RECOVERED MOTOR VEHICLE,1
ALL OTHER - RESISTING ARREST,1
ALL OTHER - SUICIDE,71
ALL OTHER - SUICIDE (ATTEMPTED),309
ALL OTHER - SUICIDE (COMMITTED),52
ALL OTHER - SUICIDE (PRESCRIPTION DRUGS - ATTEMPTED),83
ALL OTHER - SUICIDE (PRESCRIPTION DRUGS - COMMITTED),8
ALL OTHER - SUICIDE (PRESCRIPTION DRUGS),4
ALL OTHER - TRESPASS - TRESPASSING,24
ALL OTHER - TRESPASSING,420
ALL OTHER - VAGRANCY,1
ALL OTHER - WARRANT FOR ARREST,2039
ALL OTHER - WARRANT FOR ARREST SERVICE,177
ALL OTHER OFFENSES,779
ALL OTHER SIMPLE ASSAULT,658
ALL TRAFFIC EXCEPT DWI,366
ARSON,101
"ARSON  -  (INTENTIONALLY BURNING WOODS, FIELDS, GRASS, BRUSH",4
"ARSON (INTENTIONALLY BURNING WOODS, FIELDS, GRASS, BRUSH)",2
ARSON - (STRUCTURE/VEH/PROPERTY OWNED BY SELF OR ANOTHER,3
ARSON - NON-STRUCTURE,27
ARSON - STRUCTURE,17
ASSAULT,1
ASSAULT - AGGRAVATED,413
ASSAULT - SIMPLE - ALL OTHER,1967
ASSAULT - SIMPLE - BOMB THREAT,16
"ASSAULT - SIMPLE - COMMUNICATE THREATS, INTIMIDATION",513
"ASSAULT - SIMPLE - INTIMIDATION, THREATS",2
ASSAULT - SIMPLE - ON FEMALE,81
ASSAULT - SIMPLE - PHYSICAL (NON-AGGRAVATED),89
ASSAULT - SIMPLE - TELEPHONE THREAT,31
ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),1201
ASSIST OTHER AGENCY,1
BRIBERY,3
BURGLARY - BREAKING OR ENTERING A BUILDING,9
BURGLARY - FORCIBLE ENTRY,4954
BURGLARY - NON FORCED ENTRY,1539
BURGLARY - NON-FORCED ENTRY,949
COUNTERFEITING - BUYING/RECEIVING,39
COUNTERFEITING - MANUFACTURING,16
COUNTERFEITING - POSSESS/CONCEAL,11
COUNTERFEITING - POSSESS/CONCEALING,26
COUNTERFEITING - SELL/DISTRIBUTE,16
COUNTERFEITING - SELLING/DISTRIBUTING,6
COUNTERFEITING - UNDETERMINED,18
COUNTERFEITING - UNDETERMINED/NA,32
COUNTERFEITING - USING,401
DISORDERLY - ALL OTHER,48
DISORDERLY - DISTURBING THE PEACE,49
DISORDERLY - DRUNK AND DISORDERLY,176
DISORDERLY - FIGHTING,104
DISORDERLY CONDUCT,85
DISORDERLY CONDUCT - ALL OTHER,25
DISORDERLY CONDUCT - DISTURBING THE PEACE,18
DISORDERLY CONDUCT - DRUNK AND DISRUPTIVE,168
DISORDERLY CONDUCT - FIGHTING/ AFFRAY,73
DRUG - OTHER DRUG VIOLATINS,145
DRUG ACTIVITY,264
DRUGS - DRUG VIOLATIONS,1436
DRUGS - DRUG VIOLATIONS (POSS./SELL/MAN./DEL./TRNSPRT/CULT.),1879
DRUGS - DRUG/NARCOTIC VIOLATIONS,77
DRUGS - DRUGS-MISD POSS,1
DRUGS - EQUIP/PARAPHERNALIA - POSSESSING/CONCEALING EQUIPMEN,1014
DRUGS - EQUIP/PARAPHERNALIA - SELLING/ EQUIPMENT,31
DRUGS - EQUIP/PARAPHERNALIA - USING,109
DRUGS - EQUIP/PARAPHERNALIA -MANUFACTURING,5
DRUGS - EQUIP/PARAPHERNALIA -TRANSPORTING/ EQUIPMENT,7
DRUGS - EQUIP/PARAPHERNALIA- BUYING,4
DRUGS - EQUIP/PARAPHERNALIA-POSSESS/CONCEAL,2
DRUGS - FALSE REPRESENTA. OF DRUGS,6
DRUGS - FALSE REPRESENTATION OF DRUGS,4
DRUGS - PRESCRIPTION  DRUG POSSESSION,58
DRUGS - PRESCRIPTION DRUG POSSESSION,23
DRUGS - Z DRUG - POSSESSION - MARIJUANA,1
DWI - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS,2236
EMBEZZLEMENT - ALL OTHER,798
EMBEZZLEMENT - OTHER,17
EMBEZZLEMENT - PAPER,88
EMBEZZLEMENT - PHARMACEUTICAL,6
EMBEZZLEMENT - VIA PAPER,1
EMBEZZLEMENT - WIRE/COMPUTER/ELECT.,15
EMBEZZLEMENT - WIRE/COMPUTER/OTHER ELECTRONIC,16
EMBEZZLEMENT- OTHER,3
EQUIP/PARAPHERNALIA-POSSESS/CONCEAL,365
EQUIPMENT/PARAPHERNALIA-MANUFACTURE,3
EQUIPMENT/PARAPHERNALIA-SELLING,5
EQUIPMENT/PARAPHERNALIA-TRANSPORT,1
EQUIPMENT/PARAPHERNALIA-USING,10
FORGERY -  PRESCRIPTIONS (USING/UTTERING),8
FORGERY - BUYING/RECEIVING,12
FORGERY - COUNTERFEITING - BUYING/RECEIVING,3
FORGERY - PHARMACEUTICAL USING/UTTERING PRESCRIPTIONS,26
FORGERY - POSSESSING/CONCEALING,16
FORGERY - SELLING /DISTRIBUTING,3
FORGERY - TRANSPORTING,2
FORGERY - UNDETERMINED,3
FORGERY - UNDETERMINED/NA,12
FORGERY - USING/UTTERING,736
FORGERY- POSSESSING/CONCEALING,1
FORGERY- USING/UTTERING,3
FRAUD - ALL OTHER,2383
FRAUD - CONFIDENCE GAME/TRICKERY,23
FRAUD - CONFIDENCE GAMES/LARCENY BY TRICK,37
FRAUD - CONVERSION - INTENT TO CONVERT PROPERTY,1
FRAUD - CREDIT CARD/ATM,2632
FRAUD - FALSE PRETENSE,1243
FRAUD - HACKING/COMPUTER INVASION,7
FRAUD - IDENTITY THEFT,165
FRAUD - IMPERSONATION,1049
FRAUD - LARCENY BY TRICKERY,1
FRAUD - OBTAINING PROPERTY BY FALSE PRETENSE,1212
FRAUD - PHARMACEUTICAL FRAUD,110
FRAUD - REFUSED TO PAY TAXICAB FARE,1
FRAUD - UNAUTHORIZED USE OF CONVEYANCE,8
FRAUD - UNAUTHORIZED USE OF VEHICLE/CONVEYANCE,101
FRAUD - UNAUTHORIZED USE/CONVEYANCE,305
FRAUD - WELFARE,1
FRAUD - WELFARE FRAUD,3
FRAUD - WIRE/COMPUTER/ELECTRONIC,184
FRAUD - WIRE/COMPUTER/OTHER ELECTRONIC MANIPULATION,294
FRAUD - WORTHLESS CHECK,95
FRAUD - WORTHLESS CHECKS,222
FRAUD-ALL OTHER,12
FRAUD-WORTHLESS CHECK,3
GAMBLING - ALL OTHER,1
GAMBLING - BETTING AND WAGERING,1
GAMBLING - OPERATE/PROMOTE/ASSIST,2
